ts,flow_duration,flow_byte,src_mac,dst_mac,src_ip,dst_ip,src_port,dst_port,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,urg_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,max_duration,min_duration,sum_duration,average_duration,std_duration,CoAP,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,MAC,Magnitue,Radius,Covariance,Variance,Weight,DS status,Fragments,Sequence number,Protocol Version,flow_idle_time,flow_active_time
1709578275.522359,0.0,0,00:0c:29:69:89:72,ff:ff:ff:ff:ff:ff,,,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709578275.093417,1709578275.093417,1709578275.093417,1709578275.093417,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,817,54,163,62.84615384615385,28.955791645584227,60,0.4289419651031494,13,0,7.927556612611092,28.955791645584227,0.0,0.0,0,0,0,0,0,0.0,0.0
1709578275.522798,0.0,0,00:0c:29:69:89:72,ff:ff:ff:ff:ff:ff,,,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709578275.093417,1709578275.093417,1709578275.093417,1709578275.093417,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,877,54,163,62.642857142857146,27.91212522711013,60,0.0004391670227050781,14,0,11.083598415954715,28.955791645584227,0.0,0.0,13,0,0,0,0,0.0,0.0
1709578275.522836,0.0,0,00:0c:29:69:89:72,ff:ff:ff:ff:ff:ff,,,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709578275.093417,1709578275.093417,1709578275.093417,1709578275.093417,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,937,54,163,62.46666666666667,26.973732078120417,60,3.790855407714844e-05,15,0,11.083598415954715,28.955791645584227,0.0,0.0,26,0,0,0,0,0.0,0.0
1709578275.522857,0.0,0,00:0c:29:69:89:72,ff:ff:ff:ff:ff:ff,,,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709578275.093417,1709578275.093417,1709578275.093417,1709578275.093417,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,997,54,163,62.3125,26.12402809196928,60,2.09808349609375e-05,16,0,11.083598415954715,28.955791645584227,0.0,0.0,39,0,0,0,0,0.0,0.0
1709578275.522908,0.0,0,00:0c:29:69:89:72,ff:ff:ff:ff:ff:ff,,,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709578275.093417,1709578275.093417,1709578275.093417,1709578275.093417,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1057,54,163,62.1764705882353,25.34987015657116,60,5.1021575927734375e-05,17,0,11.083598415954715,28.955791645584227,0.0,0.0,52,0,0,0,0,0.0,0.0
1709578275.523217,0.0,0,00:0c:29:69:89:72,ff:ff:ff:ff:ff:ff,,,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709578275.093417,1709578275.093417,1709578275.093417,1709578275.093417,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1117,54,163,62.05555555555556,24.640689524583387,60,0.000308990478515625,18,0,11.083598415954715,28.955791645584227,0.0,0.0,65,0,0,0,0,0.0,0.0
1709578275.523238,0.0,0,00:0c:29:69:89:72,ff:ff:ff:ff:ff:ff,,,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709578275.093417,1709578275.093417,1709578275.093417,1709578275.093417,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1177,54,163,61.94736842105263,23.987877825028136,60,2.09808349609375e-05,19,0,11.083598415954715,28.955791645584227,0.0,0.0,78,0,0,0,0,0.0,0.0
1709578275.523643,0.0,0,00:0c:29:69:89:72,ff:ff:ff:ff:ff:ff,,,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709578275.093417,1709578275.093417,1709578275.093417,1709578275.093417,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1237,54,163,61.85,23.38434305256404,60,0.0004050731658935547,20,0,11.083598415954715,28.955791645584227,0.0,0.0,91,0,0,0,0,0.0,0.0
1709578275.523665,0.0,0,00:0c:29:69:89:72,ff:ff:ff:ff:ff:ff,,,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709578275.093417,1709578275.093417,1709578275.093417,1709578275.093417,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,60,60,60,60.0,0.0,60,2.193450927734375e-05,1,0,7.745966692414834,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0
1709578275.523692,0.0,0,00:0c:29:69:89:72,ff:ff:ff:ff:ff:ff,,,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709578275.093417,1709578275.093417,1709578275.093417,1709578275.093417,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,120,60,60,60.0,0.0,60,2.6941299438476562e-05,2,0,10.954451150103322,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0
1709578275.524004,0.0,0,00:0c:29:69:89:72,ff:ff:ff:ff:ff:ff,,,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709578275.093417,1709578275.093417,1709578275.093417,1709578275.093417,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,180,60,60,60.0,0.0,60,0.0003120899200439453,3,0,10.954451150103322,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0
1709578277.056202,0.0,85,00:0c:29:69:89:72,00:0c:29:75:b1:c6,192.168.20.102,192.168.30.10,47791.0,53.0,17,64,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709578277.056202,1709578277.056202,1709578277.056202,1709578277.056202,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,265,60,85,66.25,10.825317547305483,85,1.5321979522705078,4,546304,11.510864433221338,12.5,0.0,0.0,4,0,0,0,0,1709578277.056202,0.0
1709578277.056224,2.2172927856445312e-05,171,00:0c:29:69:89:72,00:0c:29:75:b1:c6,192.168.20.102,192.168.30.10,47791.0,53.0,17,64,90200.08602150538,90200.08602150538,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709578277.056224,1709578277.056202,3419156554.112426,1709578277.056213,1.1087104819857046e-05,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,351,60,86,70.2,12.496399481450647,86,2.2172927856445312e-05,5,546304,11.704699910719626,12.027745701779143,0.0,0.0,6,0,0,0,0,2.2172927856445312e-05,2.2172927856445312e-05
1709578277.056245,4.315376281738281e-05,258,00:0c:29:69:89:72,00:0c:29:75:b1:c6,192.168.20.102,192.168.30.10,47791.0,53.0,17,64,69518.85082872928,69518.85082872928,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709578277.056245,1709578277.056202,5128734831.168671,1709578277.0562236,1.761986963661895e-05,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,438,60,87,73.0,13.012814197295423,87,2.09808349609375e-05,6,546304,11.811011811017716,11.280514172678478,0.0,0.0,8,0,0,0,0,2.09808349609375e-05,4.315376281738281e-05
1709578277.057322,0.0011200904846191406,345,00:0c:29:69:89:72,00:0c:29:75:b1:c6,192.168.20.102,192.168.30.10,47791.0,53.0,17,64,3571.14005959983,3571.14005959983,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709578277.057322,1709578277.056202,6838313108.225992,1709578277.056498,0.00047582910199281436,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,525,60,87,75.0,13.005493344846904,87,0.0010769367218017578,7,546304,11.874342087037917,10.526157893552615,0.0,0.0,10,0,0,0,0,0.0010769367218017578,0.0011200904846191406
1709578277.059298,0.0030961036682128906,508,00:0c:29:75:b1:c6,00:0c:29:69:89:72,192.168.30.10,192.168.20.102,53.0,47791.0,17,127,1614.9330047743724,1614.9330047743724,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709578277.059298,1709578277.056202,8547891385.28529,1709578277.0570579,0.0011980426607555693,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,688,60,163,86.0,31.54362059117501,163,0.00197601318359375,8,546304,13.241349377360802,49.682547796540746,185.39999999999998,0.046997832029409,15,0,0,0,0,0.00197601318359375,0.0030961036682128906
1709578277.059399,0.0031969547271728516,670,00:0c:29:75:b1:c6,00:0c:29:69:89:72,192.168.30.10,192.168.20.102,53.0,47791.0,17,127,1876.7860392273847,1876.7860392273847,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709578277.059399,1709578277.056202,10257469662.344688,1709578277.0574481,0.0013989322192855635,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,850,60,163,94.44444444444444,38.1433294331645,162,0.00010085105895996094,9,546304,13.865424623862047,52.32100438638387,286.9,0.04218240654817141,20,0,0,0,0,0.00010085105895996094,0.0031969547271728516
1709578277.059683,0.003481149673461914,834,00:0c:29:75:b1:c6,00:0c:29:69:89:72,192.168.30.10,192.168.20.102,53.0,47791.0,17,127,2010.8299431545784,2010.8299431545784,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709578277.059683,1709578277.056202,11967047939.404371,1709578277.0577674,0.0015129291505797972,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1014,60,164,101.4,41.77128200091541,164,0.0002841949462890625,10,546304,14.24078649513432,51.5495877772073,350.2,0.04350967579793917,25,0,0,0,0,0.0002841949462890625,0.003481149673461914
1709578277.059766,0.003564119338989258,998,00:0c:29:75:b1:c6,00:0c:29:69:89:72,192.168.30.10,192.168.20.102,53.0,47791.0,17,127,2244.593752090441,2244.593752090441,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709578277.059766,1709578277.056202,13676626216.464138,1709578277.0580173,0.0015619414734298264,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1178,60,164,107.0909090909091,43.70449227056755,164,8.296966552734375e-05,11,546304,14.485625058427177,49.80233149383894,350.20000000000005,0.04676146821256492,30,0,0,0,0,8.296966552734375e-05,0.003564119338989258
